orig_image,mask_image
images\OFT_control_01$000152&03_@000374.bmp,masks\OFT_control_01$000152&03_@000374.bmp
images\OFT_control_01$000152&03_@000569.bmp,masks\OFT_control_01$000152&03_@000569.bmp
images\OFT_control_01$000152&03_@000939.bmp,masks\OFT_control_01$000152&03_@000939.bmp
images\OFT_control_01$000152&03_@001147.bmp,masks\OFT_control_01$000152&03_@001147.bmp
images\OFT_control_01$000152&03_@002309.bmp,masks\OFT_control_01$000152&03_@002309.bmp
images\OFT_control_01$000152&03_@002845.bmp,masks\OFT_control_01$000152&03_@002845.bmp
images\OFT_control_01$000152&03_@002938.bmp,masks\OFT_control_01$000152&03_@002938.bmp
images\OFT_control_02$000146&03_@000291.bmp,masks\OFT_control_02$000146&03_@000291.bmp
images\OFT_control_02$000146&03_@000384.bmp,masks\OFT_control_02$000146&03_@000384.bmp
images\OFT_control_02$000146&03_@000670.bmp,masks\OFT_control_02$000146&03_@000670.bmp
images\OFT_control_02$000146&03_@000837.bmp,masks\OFT_control_02$000146&03_@000837.bmp
images\OFT_control_02$000146&03_@001207.bmp,masks\OFT_control_02$000146&03_@001207.bmp
images\OFT_control_02$000146&03_@001615.bmp,masks\OFT_control_02$000146&03_@001615.bmp
images\OFT_control_02$000146&03_@002100.bmp,masks\OFT_control_02$000146&03_@002100.bmp
images\OFT_control_02$000146&03_@002415.bmp,masks\OFT_control_02$000146&03_@002415.bmp
images\OFT_control_02$000146&03_@002804.bmp,masks\OFT_control_02$000146&03_@002804.bmp
images\OFT_control_02$000146&03_@003294.bmp,masks\OFT_control_02$000146&03_@003294.bmp
images\OFT_control_02$000146&03_@003803.bmp,masks\OFT_control_02$000146&03_@003803.bmp
images\OFT_control_03$000141&03_@000212.bmp,masks\OFT_control_03$000141&03_@000212.bmp
images\OFT_control_03$000141&03_@000402.bmp,masks\OFT_control_03$000141&03_@000402.bmp
images\OFT_control_03$000141&03_@000444.bmp,masks\OFT_control_03$000141&03_@000444.bmp
images\OFT_control_03$000141&03_@000638.bmp,masks\OFT_control_03$000141&03_@000638.bmp
images\OFT_control_03$000141&03_@000703.bmp,masks\OFT_control_03$000141&03_@000703.bmp
images\OFT_control_03$000141&03_@000994.bmp,masks\OFT_control_03$000141&03_@000994.bmp
images\OFT_control_03$000141&03_@001369.bmp,masks\OFT_control_03$000141&03_@001369.bmp
images\OFT_control_03$000141&03_@001494.bmp,masks\OFT_control_03$000141&03_@001494.bmp
images\OFT_control_03$000141&03_@001601.bmp,masks\OFT_control_03$000141&03_@001601.bmp
images\OFT_control_03$000141&03_@001712.bmp,masks\OFT_control_03$000141&03_@001712.bmp
images\OFT_control_03$000141&03_@001758.bmp,masks\OFT_control_03$000141&03_@001758.bmp
images\OFT_control_03$000141&03_@001911.bmp,masks\OFT_control_03$000141&03_@001911.bmp
images\OFT_control_03$000141&03_@002447.bmp,masks\OFT_control_03$000141&03_@002447.bmp
images\OFT_control_03$000141&03_@002633.bmp,masks\OFT_control_03$000141&03_@002633.bmp
images\OFT_control_03$000141&03_@003169.bmp,masks\OFT_control_03$000141&03_@003169.bmp
images\OFT_control_03$000141&03_@004160.bmp,masks\OFT_control_03$000141&03_@004160.bmp
images\OFT_control_04$000176&03_@000291.bmp,masks\OFT_control_04$000176&03_@000291.bmp
images\OFT_control_04$000176&03_@000569.bmp,masks\OFT_control_04$000176&03_@000569.bmp
images\OFT_control_04$000176&03_@000962.bmp,masks\OFT_control_04$000176&03_@000962.bmp
images\OFT_control_04$000176&03_@001274.bmp,masks\OFT_control_04$000176&03_@001274.bmp
images\OFT_control_04$000176&03_@001318.bmp,masks\OFT_control_04$000176&03_@001318.bmp
images\OFT_control_04$000176&03_@001638.bmp,masks\OFT_control_04$000176&03_@001638.bmp
images\OFT_control_04$000176&03_@001726.bmp,masks\OFT_control_04$000176&03_@001726.bmp
images\OFT_control_04$000176&03_@001827.bmp,masks\OFT_control_04$000176&03_@001827.bmp
images\OFT_control_04$000176&03_@001948.bmp,masks\OFT_control_04$000176&03_@001948.bmp
images\OFT_control_04$000176&03_@002017.bmp,masks\OFT_control_04$000176&03_@002017.bmp
images\OFT_control_04$000176&03_@002156.bmp,masks\OFT_control_04$000176&03_@002156.bmp
images\OFT_control_04$000176&03_@002596.bmp,masks\OFT_control_04$000176&03_@002596.bmp
images\OFT_control_04$000176&03_@002762.bmp,masks\OFT_control_04$000176&03_@002762.bmp
images\OFT_control_04$000176&03_@002952.bmp,masks\OFT_control_04$000176&03_@002952.bmp
images\OFT_control_04$000176&03_@003350.bmp,masks\OFT_control_04$000176&03_@003350.bmp
images\OFT_control_04$000176&03_@004132.bmp,masks\OFT_control_04$000176&03_@004132.bmp
images\OFT_control_05$000124&03_@000222.bmp,masks\OFT_control_05$000124&03_@000222.bmp
images\OFT_control_05$000124&03_@000462.bmp,masks\OFT_control_05$000124&03_@000462.bmp
images\OFT_control_05$000124&03_@000601.bmp,masks\OFT_control_05$000124&03_@000601.bmp
images\OFT_control_05$000124&03_@000740.bmp,masks\OFT_control_05$000124&03_@000740.bmp
images\OFT_control_05$000124&03_@000856.bmp,masks\OFT_control_05$000124&03_@000856.bmp
images\OFT_control_05$000124&03_@001249.bmp,masks\OFT_control_05$000124&03_@001249.bmp
images\OFT_control_05$000124&03_@001420.bmp,masks\OFT_control_05$000124&03_@001420.bmp
images\OFT_control_05$000124&03_@001809.bmp,masks\OFT_control_05$000124&03_@001809.bmp
images\OFT_control_05$000124&03_@001943.bmp,masks\OFT_control_05$000124&03_@001943.bmp
images\OFT_control_05$000124&03_@002124.bmp,masks\OFT_control_05$000124&03_@002124.bmp
images\OFT_control_05$000124&03_@002406.bmp,masks\OFT_control_05$000124&03_@002406.bmp
images\OFT_control_05$000124&03_@002804.bmp,masks\OFT_control_05$000124&03_@002804.bmp
images\OFT_control_05$000124&03_@003146.bmp,masks\OFT_control_05$000124&03_@003146.bmp
images\OFT_control_06$000126&03_@000013.bmp,masks\OFT_control_06$000126&03_@000013.bmp
images\OFT_control_06$000126&03_@000129.bmp,masks\OFT_control_06$000126&03_@000129.bmp
images\OFT_control_06$000126&03_@000305.bmp,masks\OFT_control_06$000126&03_@000305.bmp
images\OFT_control_06$000126&03_@000365.bmp,masks\OFT_control_06$000126&03_@000365.bmp
images\OFT_control_06$000126&03_@000481.bmp,masks\OFT_control_06$000126&03_@000481.bmp
images\OFT_control_06$000126&03_@000578.bmp,masks\OFT_control_06$000126&03_@000578.bmp
images\OFT_control_06$000126&03_@000786.bmp,masks\OFT_control_06$000126&03_@000786.bmp
images\OFT_control_06$000126&03_@001018.bmp,masks\OFT_control_06$000126&03_@001018.bmp
images\OFT_control_06$000126&03_@001184.bmp,masks\OFT_control_06$000126&03_@001184.bmp
images\OFT_control_06$000126&03_@001249.bmp,masks\OFT_control_06$000126&03_@001249.bmp
images\OFT_control_06$000126&03_@001429.bmp,masks\OFT_control_06$000126&03_@001429.bmp
images\OFT_control_06$000126&03_@001536.bmp,masks\OFT_control_06$000126&03_@001536.bmp
images\OFT_control_06$000126&03_@001596.bmp,masks\OFT_control_06$000126&03_@001596.bmp
images\OFT_control_06$000126&03_@001661.bmp,masks\OFT_control_06$000126&03_@001661.bmp
images\OFT_control_06$000126&03_@001734.bmp,masks\OFT_control_06$000126&03_@001734.bmp
images\OFT_control_06$000126&03_@001790.bmp,masks\OFT_control_06$000126&03_@001790.bmp
images\OFT_control_06$000126&03_@002008.bmp,masks\OFT_control_06$000126&03_@002008.bmp
images\OFT_control_06$000126&03_@002137.bmp,masks\OFT_control_06$000126&03_@002137.bmp
images\OFT_control_06$000126&03_@002276.bmp,masks\OFT_control_06$000126&03_@002276.bmp
images\OFT_control_06$000126&03_@002461.bmp,masks\OFT_control_06$000126&03_@002461.bmp
